round,TS_MSE_1,TS_MSE_2,TS_MSE_3,TS_MSE_4,TS_MSE_5,TS_MSE_6
1,1767.773160501506,591.1006417775841,460.4750072677351,953.5575400095867,226.27204622568522,447.79814712689296
2,1444.2883426165877,885.4447107660984,2601.975581091908,762.3314540758347,184.23866217508677,836.7575767103059
3,589.7030388353703,999.6562406053664,1051.765413292075,299.5889855474816,72.68884007105898,408.3069986622402
4,343.7013187345666,393.659356830012,445.04591717118734,128.1924166449787,353.0685834123361,897.3031256740913
5,448.6695863764762,338.04274229998214,473.24699779958604,114.95511366262664,606.1680622145451,824.2293295480956
6,360.82550027653406,264.3522194612014,371.5284810073663,425.1688048839631,448.81597936504454,665.0240667757232
7,265.89935785886746,199.54859800815802,317.7781742050899,286.104865828766,320.06376822940433,480.4113607798545
8,254.10579926249673,278.79196108551633,208.7467831951618,331.0810606961088,251.63374017815283,363.8397189708859
9,301.10123488241317,367.97617872377623,256.9108961508827,347.3408253345178,287.48469244992174,425.0607591491512
10,336.6953934544711,344.59027213224294,175.88989449486405,283.5803660995452,226.19237074245495,419.3842657300229
11,337.59156565099386,374.64661242263975,178.3566976831567,294.9698054762675,215.78208232277498,434.11565450631576
12,292.5712150788532,238.88305880794903,137.8074114926509,170.3259613301165,210.92565844390637,412.3324556128586
13,238.66395752348043,400.18714434598115,110.29284601910695,195.28649387450002,280.6092445620123,451.0214656588636
14,237.87627893752133,222.6642763830929,156.95728629228336,116.87402888832608,254.94437622465273,181.54757786255192
15,189.85555816337572,254.29293966907423,147.09372470376508,187.77943397726318,166.91252023722268,274.84819609823575
16,194.81287510883166,239.86160451441395,183.09339506125966,228.5628557338658,203.51804000341366,198.2547415490416
17,176.2507796491978,262.209158923142,106.17414219121369,203.92699848514818,185.30905955930163,236.35744407545604
18,202.29057182431825,233.6504780700904,110.64559665201466,203.08245255752007,69.4750668703622,147.46901348683372
19,148.09873759336327,131.8563765018415,156.18931817069307,168.95945699128882,146.62827568360058,192.42417037680508
20,292.53212374403296,238.4842597115351,176.6917206279887,149.18184627791567,134.03914766672685,173.61498117897904
21,327.83224082065584,292.2240918093486,60.69811756545286,97.86460378216005,84.6795551775935,226.8010792237358
22,158.25611220131557,210.59304804988605,277.8965466140918,174.82701060064838,97.88554160844765,86.29181312116413
23,212.74505617267693,135.48620129797257,199.27604329701518,177.40955776290303,48.35888289845336,196.7873975068751
24,291.1726104466709,216.80097831889285,271.2816134234648,74.64166113706067,119.88701226383291,180.65187826586276
25,128.01104834103336,42.12863689189465,373.33977773625475,113.59641685894258,40.06605648044245,156.3248088494617
26,241.51414127103584,88.91964113036556,108.9694565295668,56.151821108962274,92.82737648834696,131.46202128904505
27,138.89600850485513,30.688316245643662,308.8836760131273,89.70483119615247,104.07523724505512,90.54118791495965
28,43.34181598211044,124.66270261686503,91.6553659660853,105.45863752655359,64.76717296128437,206.6700967546777
29,163.2712280587259,175.74585541314664,78.06582173073394,143.02878494735538,109.8591543597816,31.840145690083936
30,108.44639582313677,94.33296897384285,227.74701527027824,150.22043660522215,118.1726685152148,128.93181631888302
31,88.78021764581229,102.12667792978411,333.28081631922674,231.0921333669902,87.6173730819356,85.815288907318
32,58.31842424593364,193.01020728105988,99.90711245659121,159.1280896632572,212.10051579967333,95.3656641846274
33,112.3787041319278,98.59953302189253,206.06130336649417,125.43284908965664,130.0960114086106,81.87482768829234
34,54.35737845757453,95.08753952571638,72.04580412557856,236.67237559095625,45.341350984152385,82.9007344069321
35,130.52784153037803,201.98198096650333,134.6932186108489,191.1157798929288,103.79139027682717,142.253263117546
36,88.00134682853027,171.49746621609742,94.99666653569524,192.01458601503455,41.5214468913103,19.593175968428536
37,84.36396085126698,97.19621636551821,141.97491694960252,162.83415920800405,100.58428553705022,66.40702259744207
38,124.88872644508633,83.1660281938765,79.34694384817222,146.54687196619244,21.228515449240845,31.264190592750552
39,101.83398284287577,186.23078840513196,147.82256072881938,121.410635719453,41.94286612237462,138.01457525961553
40,167.2695136770316,223.52304090696333,158.8360708563489,191.36912427724772,73.78985573201558,73.50032187358704
41,47.54697961004094,109.7583478994321,55.27837652923336,119.62797357329782,29.0548967250861,110.5474000112438
42,80.45651453595006,83.9380948078247,140.06122841188727,73.76641933042865,60.33332206579673,75.09711437279684
43,102.34151980231391,175.0217807163212,42.92763582728499,155.26267005934108,85.04834194301924,68.8615295456047
44,66.8310249617112,127.52566308180593,21.734582742909655,119.58879274353727,24.38021875887772,21.49941059680001
45,36.829465150717425,275.7436997826013,83.53785258715891,126.29004446908303,86.77163349817302,21.35622426321808
46,135.17611283382539,222.52555579969902,96.94869945222348,223.26440911665162,101.4222136545481,37.887159361684326
47,15.32618487364911,60.56066352963924,98.10621183393883,120.04441718272747,114.94491145430362,96.094915322494
48,69.15154242110174,135.74731250569522,145.6890142810049,145.12192541347466,10.633216298619605,36.49753621468549
49,52.14554291433933,31.608614140717513,143.5028793120279,228.13109095274868,71.77303894972835,18.128938855281532
50,28.125913961641263,112.41108616012947,86.96500675577492,188.5901140455777,6.402876158759599,103.26683202905672
51,44.35582068468592,137.24802223536884,164.52473258109106,167.55915734705366,13.247753980402754,33.93950300934636
52,135.8614200087172,57.374753217408085,90.72213708472171,132.90407570163867,109.41546406603761,39.152302343811364
53,97.20949769478085,132.2561608902629,68.28830178682718,388.5933736700866,10.993686449006063,34.564754040912824
54,23.910006567316742,194.78089092847313,72.87075981042376,155.11519154830066,26.768272837765775,43.671776086771075
55,23.212981419612923,90.69028567180405,18.47002153838477,144.13202102688848,6.8356214587351865,56.87223745929551
56,57.37059088378797,99.92299770439806,30.154386976532308,146.83841312009704,36.24709985804368,10.649364155900479
57,19.051063429160834,100.88812343192225,55.51918463981263,59.587510690953906,39.635600040306976,70.143191825012
58,43.70735091889044,45.73064646476143,157.51202749695815,165.89551770043713,25.444628814453463,45.12645450811722
59,83.71357274149287,187.51759346546692,43.08781817307639,144.7459820176935,24.203646509503873,48.34859504286235
60,4.915982115717866,107.75318653555335,104.08706320996747,66.98833796279631,51.27638014352204,40.598989214321364
61,67.85544433727642,224.25456583617614,32.16885070731979,33.71611906742514,48.72431891793667,99.86227108984423
62,70.18820563368567,68.58780515965587,64.26371473631397,166.30288850212565,2.3309963675613483,27.468613544303402
63,34.46545755136639,252.96130217433935,78.25711433944599,53.82354202899609,24.833880580608085,68.97202407349981
64,97.31555283406156,357.8726396655742,8.508688787375412,150.86127646804735,29.34231445312561,1.5699567624276898
65,18.06690478989574,126.87491338647318,97.63455577454747,131.32506454881667,114.97091102160701,20.989710256964194
66,33.14859819263395,225.4216245839708,39.04722486145149,271.34825519664685,88.00484368172691,7.913217537703483
67,34.75706335120949,212.89683563995325,157.49523413174336,174.83282411710127,15.198251731460582,10.211938703325334
68,2.6991935961067344,220.33889768529804,150.89920638093778,180.83442692277225,10.789544905513004,4.867474452711614
69,2.5219351263869236,146.30661037332305,108.34470610124572,137.84931604685016,1.9037649557226115,24.7631846480934
70,16.70858691218647,167.0482392384169,106.3551139474426,156.0449200152968,2.7744988146192195,52.86490379547744
71,46.74863884367989,192.771119842585,20.217816225544663,158.65513058142827,12.446762529013075,6.35266059321761e-07
72,5.428141272196578,68.84888703846039,143.41009685326355,102.39457334319188,18.99847764851307,90.83659183022228
73,8.327213505492967,217.17544027579905,5.713953113881535,127.13373916593285,9.498932993469479,6.106650158893557e-07
74,70.52277396189412,55.49197799416927,27.64667387163305,135.28958634386296,6.07203760624115,50.7899999575547
75,88.66652635197825,156.2329702666841,5.494889852563103,121.93806024217622,5.789242346720803,1.6378409907398384
76,46.22513797976953,99.32415717890137,37.767507524119544,328.5657941307229,6.045039855811683,20.055869654020963
77,1.638769598447118,117.84152564417809,28.228486908994213,109.6916905019907,0.7560013534732497,5.773952595825555e-07
78,24.804001830243664,172.40536932002277,102.49690234781629,40.40212765930907,13.856136188881434,71.93638931663983
79,9.801825347346114,128.3469389790508,112.72310395143208,115.60910542981873,2.657791775511733,89.02372201680225
80,46.622818053953594,38.65794526978499,13.573999105003068,183.805062513583,18.14822446789965,71.71151566791214
81,44.48720285442066,61.23132336785824,20.35441246696902,101.74198134329323,6.185105491945239,30.950727239918173
82,7.357566588160885,53.92595233860241,4.827558683384817,164.9938683142762,6.471020202992958,15.647716041906506
83,84.60382810594035,129.14060436550045,22.441313172661534,132.90982214127553,3.421785392181265,97.46976775863595
84,75.59227809246988,105.3258615657743,106.92091935449099,140.86033260589602,6.404114601415705,5.652555702501315e-07
85,18.348392609751173,150.41758161194792,48.57209690352459,69.56153860711622,5.5094208356851695,5.704837346408195e-07
86,3.72596806348954,78.67130216955682,12.210398257375749,60.18176081480019,2.7281306403723824,11.23917548986946
87,36.616957614040665,318.0081049479796,68.34537869142447,61.74160835841328,13.496068561816148,18.192004470127955
88,43.417874954941865,51.50243958139843,39.82773800202218,71.595483247341,2.520333620615496,47.50563059741753
89,3.1684688929733205,90.26575436070866,5.123586369979838,137.79041151261953,1.8612005316025815,7.4317532286450545
90,1.8978374309665405,134.06859685546158,68.11728166537314,234.00366873640115,0.8702362142173414,91.59070645642663
91,2.418126072695975,245.4544472153053,2.2478024526709897,163.15424725143967,3.7209391731598918,42.90977082134064
92,2.9550621610221683,85.53816760540154,88.97621578986873,80.68540781657427,3.7428235789057367,3.768186186095615
93,10.445455868470255,107.230179303121,65.37685686525211,123.30783346375475,6.844776360127419,13.945488338043008
94,9.121688567428002,126.34190349617285,67.4009189596151,107.45539494283157,1.6066480234571838,2.0622897175649446
95,5.208646768349086,174.14827117856004,85.42553265494915,76.69777486383137,1.8877458001514601e-07,5.125896708793875e-07
96,5.3902532388057125,52.288270898365134,12.28841229169945,67.53669826874263,0.886997472644708,75.8205921367132
97,1.7547732716018525,70.09750248147373,20.096163346122633,74.10271169486583,2.113669415028697,18.364448182948433
98,14.500568782206505,67.61035340950552,51.954388935503005,116.54779369237514,1.2302024199681487,3.2831892203036754
99,2.1959294118437755,138.43849228198968,55.328038080948744,148.42985883084916,7.856022973822943,81.8855754534945
100,48.72360079335468,88.4557872835437,3.689432205845667,256.1931297373663,1.5158025322724316,4.923786755970482e-07
101,8.77680075844815,174.36489506048713,5.664107462407795,97.2536201848691,12.865198346640327,12.841315298328757
102,10.671704545882074,30.35409055844577,1.6613759137638366,138.48836030665302,1.3734114824919772,19.35568758848651
103,10.755106348906606,133.44243532598838,4.937546483232598,96.08102579244107,2.8117286054623674,0.5353286630366898
104,27.557928834549912,64.39651198597876,5.656530057835926,117.25518473060127,2.1922667748688838,25.908499250104455
105,5.039410110061802,55.068711893720504,113.35333408233316,145.5991610879532,3.6429454711966667,23.763992334399163
106,18.81499087122562,71.30778160240925,14.339974272253636,76.56984004968896,4.24829025948726,14.607854453739895
107,7.926670466672777,63.3626220830251,47.58598066113788,138.54374955938908,2.1374216323799864,23.720558264560324
108,65.52728410116418,93.65746380329186,7.070232318158125,101.44143218817888,1.23375232293442,52.519685719380874
109,30.432208276013156,99.33601973119983,17.77105609000087,101.18328486753904,8.58338645463704,4.795575812131556e-07
110,44.8191959176325,246.9605900837422,27.51282864610282,55.64287447351934,4.8628415633475495,4.797323476231499e-07
111,60.026911166746146,31.914329656745497,3.6434277573026135,156.2106863059606,25.64001373571499,28.90912859540068
112,25.338449532861283,164.87640756936457,80.10691467763415,102.29259089286695,1.8184487474307002e-07,46.95019657876832
113,65.35972697317268,175.1232308608088,2.739274826507526,143.42453040348,1.7697108425937212e-07,28.453612993547537
114,29.72360403704654,149.41774415819117,23.44494385332002,85.6418885676772,1.6094364224570523,3.422587677089449
115,2.544355311841804,209.5475539909108,3.3910786480397372,105.00145090046881,1.8779931109308878e-07,4.692249475507961
116,27.07268343343405,107.31630751627642,15.339430145479023,170.19331821712828,4.804358430420988,114.04248653179553
117,30.860155551439966,221.8666845023064,14.2976429119619,48.14623302378807,3.389949170737646,32.94518155801231
118,60.82675110267567,148.51761599346352,122.574425953721,110.11493789641345,31.728429754854016,70.73608459882234
119,6.0032906006118765,172.04238255327942,31.272652835183735,128.08037590151397,1.6583046684775133e-07,39.8552001464804
120,57.66178420684083,165.552369401319,4.005654055245207,114.82182131384475,5.674802954461094,46.466794747995664
121,33.51257065441038,129.930341055124,123.0520161082477,165.739734381076,1.7335637396824703e-07,40.3354713931378
