round,TS_MSE_1,TS_MSE_2,TS_MSE_3,TS_MSE_4,TS_MSE_5,TS_MSE_6
1,0.0,4402.9375,14.4375,2.734375,0.0,0.4375
2,55.176478044803225,609.5761200397948,483.7416467058472,2365.647637410077,29.951676069695665,497.33949092149857
3,78.82690276208878,219.81846346434915,118.1816360980429,1140.3534560695914,405.0164592806942,192.99962213014118
4,226.20339760273814,217.5192941493179,128.8342094746181,1041.1087567611983,722.7821201940592,147.98623754745802
5,248.08967144014517,225.38516149451544,122.83750293025291,904.0411227533182,600.2732376379846,137.05976325402938
6,172.2547778107202,127.39460934807734,109.14924910285701,630.2531837209732,314.19224977657376,157.38518894440188
7,82.53206667771434,73.40438644720307,127.92993653139727,671.0757959773125,645.1852912910227,403.830016225605
8,629.5681764773814,132.09215358285013,131.54897714539936,942.056158385531,451.50597954875934,249.9417618353275
9,1253.9085652864796,248.8066142170491,109.79041568643783,819.7538845120454,533.1514746557615,164.60094335363829
10,812.7555118662558,183.42581043652214,87.69395658645153,591.967135020878,489.7254790267441,146.29013698171568
11,694.8224492557795,113.61342909712548,94.44433069725494,580.0625188020176,497.9285335368032,159.50077862697833
12,552.8781769638549,129.19345283131463,86.53498339837584,723.3765485857148,429.1842123820183,78.78142826213418
13,632.8174803006318,201.06491262820455,82.19244264195243,626.4627022942494,628.4069397103627,8.135102913804337
14,375.40556497030434,89.14618093550736,161.91866925793275,413.55286503291677,646.5177870248424,53.00379054947341
15,557.7750818851862,67.53969225965857,43.298033491926034,363.0860000641604,465.85863448741856,17.819430805344144
16,593.4415986197923,138.15385021791803,70.25110484622897,225.02107596486385,764.0078990066529,17.710245578157856
17,540.2337881898882,129.04731133448928,47.14321720022244,653.3594321143603,366.14994209136495,177.94676704912897
18,530.133544849828,65.68059430196584,9.914996709361985,224.1486042903426,763.7974555607517,147.72080461355802
19,417.8438758524231,87.32729954046475,52.52163264134978,404.17897604183736,665.3967929981762,64.90843294998385
20,495.2532174474259,25.773287313770314,64.28476934882173,377.69228412331717,408.3064094110571,63.9615239529983
21,383.6472443487739,41.38337398023281,175.5351404072706,629.3396328847936,383.2840228371837,127.69889510601278
22,331.0298051006568,38.46658401116335,80.29448651725036,312.60535705936235,607.9434463023199,94.16189946495338
23,298.32780230545717,60.19743592439112,7.868798723206181,325.8720691082407,757.2865408506696,140.97025690439244
